Desa/Kelurahan,Kode Wilayah,Kecamatan,Jumlah Penduduk,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pegawai Negeri Sipil,Petani/ Pekebun,Karyawan Swasta,Buruh Harian Lepas,Buruh Tani/Perkebunan,Pedagang,Wiraswasta,cluster,Cluster,Principal Component 1,Principal Component 2,Cluster
Kismoyoso,3309112008,Ngemplak,9831,2068,531,1945,58,62,2631,1930,29,57,238,2,2,1.3416275090467515,0.5087644695980877,2
Dibal,3309112009,Ngemplak,7133,1359,927,1410,85,55,1038,1190,53,261,331,2,2,1.223418072561804,0.20302207558222135,2
Sindon,3309112010,Ngemplak,5712,1257,667,980,56,126,1347,518,167,48,321,2,2,1.0621292254701376,-0.08694953253104482,2
Manggung,3309112011,Ngemplak,7602,1661,673,1333,22,123,1828,577,175,133,358,2,2,1.1829297222175292,0.16563768861534617,2
Giriroto,3309112012,Ngemplak,6839,1508,465,1244,17,85,2059,807,13,68,328,2,2,1.1421058317623498,0.12358351303657683,2
Kenteng,3309122001,Nogosari,6515,1272,343,1265,26,389,1635,302,213,33,812,2,2,1.058485014981848,0.01762067774847581,2
Potronayan,3309122002,Nogosari,6994,1311,684,1340,68,250,1781,695,110,24,384,2,2,1.120683902794026,0.092818230232591,2
Sembungan,3309122003,Nogosari,6671,1247,924,1364,31,161,1466,378,84,48,372,2,2,1.1120585432832637,0.04869781023297942,2
Jeron,3309122004,Nogosari,6794,1179,716,1298,49,153,1764,421,74,114,603,2,2,1.1416027030879101,0.11152463146658037,2
Ketitang,3309122005,Nogosari,7388,1296,650,1455,84,127,2109,214,390,31,593,2,2,1.155708032501739,0.07536476037976442,2
Rembun,3309122006,Nogosari,4831,828,465,891,77,331,1122,133,97,46,544,1,0,0.06761452172207183,0.11313759164416609,0
Guli,3309122007,Nogosari,6326,1118,665,1235,53,263,1333,204,273,67,503,2,2,1.0627560317495124,-0.05670214663012202,2
Tegalgiri,3309122008,Nogosari,4384,789,451,770,30,316,1169,360,119,19,212,1,0,0.038104832703653946,0.02907583180758716,0
